name,parent_brand,price,memory,core_clock,core_boost_clock,length,user_score,user_ratings_count,chipset
Zotac ZT-60802-10P,NVIDIA,,2048.0,928,,191,0,1,GeForce GTX 660 Ti
Zotac ZT-40101-10P,NVIDIA,,1536.0,700,,,0,0,GeForce GTX 480
Zotac ZT-90303-10M,NVIDIA,,2048.0,1266,1329,208,0,4,GeForce GTX 960
Zotac ZT-50401-10L,NVIDIA,,1024.0,900,,187,0,1,GeForce GTX 550 Ti
Zotac ZT-60604-10L,NVIDIA,,512.0,810,,167,0,1,GeForce GT 610
Zotac ZT-71101-10L,NVIDIA,,2048.0,902,,146,0,2,GeForce GT 730
Zotac ZT-50102-30P,NVIDIA,,1536.0,815,,266,0,0,GeForce GTX 580
Zotac ZT-40609-10L,NVIDIA,,1024.0,700,,144,0,0,GeForce GT 430
Zotac ZT-60203-10L,NVIDIA,,2048.0,900,,144,0,0,GeForce GT 640
Zotac ZT-60602-10L,NVIDIA,,1024.0,810,,144,0,1,GeForce GT 610
Zotac ZT-71006-10L,NVIDIA,,2048.0,993,,144,0,0,GeForce GT 740
Zotac ZT-50103-10P,NVIDIA,,3072.0,772,,,0,0,GeForce GTX 580
Zotac ZT-50204-10M,NVIDIA,,1280.0,780,,228,0,1,GeForce GTX 570
Zotac ZT-70505-10P,NVIDIA,,3072.0,941,1006,276,0,0,GeForce GTX 780 Ti
Zotac ZT-50306-10M,NVIDIA,,1024.0,822,,236,0,0,GeForce GTX 560 Ti
Zotac ZT-40407-10P,NVIDIA,,1024.0,710,,,0,0,GeForce GTX 460
Zotac ZT-71201-20L,NVIDIA,,2048.0,797,,145,0,0,GeForce GT 720
Zotac ZT-70701-10M,NVIDIA,,1024.0,1033,1111,144,0,1,GeForce GTX 750
Zotac ZT-70303-10P,NVIDIA,,2048.0,1150,1202,266,0,2,GeForce GTX 770
Zotac ZT-40608-10L,NVIDIA,,2048.0,700,,144,0,0,GeForce GT 430
Zotac ZT-70205-10P,NVIDIA,,3072.0,941,,276,0,0,GeForce GTX 780
Zotac ZT-50404-10L,NVIDIA,,1024.0,900,,187,0,0,GeForce GTX 550 Ti
Zotac ZT-60208-10L,NVIDIA,,1024.0,1046,,145,0,2,GeForce GT 640
Zotac ZT-90308-10M,NVIDIA,,4096.0,1177,1240,206,0,6,GeForce GTX 960
Zotac ZT-40603-10L,NVIDIA,,1024.0,700,,144,0,0,GeForce GT 430
Zotac Blower,NVIDIA,,8192.0,1515,1710,268,0,0,GeForce RTX 2080
Zotac ZT-60302-10P,NVIDIA,,2048.0,1098,,254,0,0,GeForce GTX 670
Zotac ZT-98GEY3M-FSL,NVIDIA,,1024.0,550,,193,0,0,GeForce 9800 GT
Zotac ZT-40401-10P,NVIDIA,,768.0,675,,,0,1,GeForce GTX 460
Zotac ZT-95TEH3M-FSL,NVIDIA,,512.0,550,,,0,1,GeForce 9500 GT
Zotac ZT-98GES3M-FSL,NVIDIA,,512.0,550,,,0,0,GeForce 9800 GT
Zotac Synergy Edition,NVIDIA,,2048.0,993,1059,195,0,2,GeForce GTX 660
Zotac ZT-71301-20L,NVIDIA,,1024.0,954,,146,0,1,GeForce GT 710
Zotac ZT-60601-10L,NVIDIA,,2048.0,810,,,0,0,GeForce GT 610
Zotac ZT-60603-20L,NVIDIA,,2048.0,810,,145,0,0,GeForce GT 610
Zotac ZT-60902-10M,NVIDIA,,2048.0,1046,,191,0,0,GeForce GTX 660
Zotac ZT-71001-10L,NVIDIA,,2048.0,993,,144,0,0,GeForce GT 740
Zotac ZT-50402-10L,NVIDIA,,1024.0,1000,,187,0,0,GeForce GTX 550 Ti
Zotac ZT-70406-10P,NVIDIA,,4096.0,993,1059,240,0,1,GeForce GTX 760
